sample,scenario,sample_id,room,behavior_label,expected_outcome,mmi_outcome,strict_correct,join_status,decision_count,executed_count,target_turn_id,target_decision_count,speaker_verdict_recheck_count,event_processing_latency_p95_ms,lifecycle_decision_count,lifecycle_outcome,terminal_action,terminal_reason,first_target_observe_ms,terminal_observe_ms,terminal_silence_ms,terminal_confidence,terminal_external_voice_confidence,terminal_speaker_gate_locked,terminal_started_before_speaker_gate_locked,terminal_speaker_is_target,terminal_turn_speaker_is_target,native_has_start_listening,native_has_start_speaking
v1.5/background_speech/59,background_speech,59,fdb-1784796849-2c54cdd5eb,,SUPPRESS,SUPPRESS,True,joined,6,0,1,2,0,,4,COMMIT,CONTINUE_SPEAKING,speaker_gate_warmup,0,1242,0,0.5,,False,True,,,True,True
v1.5/background_speech/65,background_speech,65,fdb-1784796898-3df72431ee,,SUPPRESS,SUPPRESS,True,joined,6,0,1,2,0,,4,COMMIT,CONTINUE_SPEAKING,speaker_gate_warmup,0,1168,0,0.5,,False,True,,,True,True
v1.5/background_speech/68,background_speech,68,fdb-1784796945-f43317937c,,SUPPRESS,SUPPRESS,True,joined,7,0,1,3,1,1.796,5,COMMIT,CONTINUE_SPEAKING,target_speaker_pending,0,1373,0,0.5,,True,True,True,True,True,True
v1.5/background_speech/70,background_speech,70,fdb-1784796994-231824e362,,SUPPRESS,SUPPRESS,True,joined,5,0,1,2,0,,4,COMMIT,CONTINUE_SPEAKING,speaker_gate_warmup,0,1481,0,0.5,,False,True,,,True,True
v1.5/background_speech/78,background_speech,78,fdb-1784797044-b26cdb2007,,SUPPRESS,SUPPRESS,True,joined,5,0,1,1,0,,3,COMMIT,CONTINUE_SPEAKING,insufficient_interruption_evidence,0,0,0,0.55,,False,True,,,False,True
v1.5/background_speech/81,background_speech,81,fdb-1784797092-ab08fa128f,,SUPPRESS,SUPPRESS,True,joined,5,0,1,1,0,,3,COMMIT,CONTINUE_SPEAKING,speaker_gate_warmup,1760,1760,0,0.5,,False,True,,,True,True
v1.5/background_speech/82,background_speech,82,fdb-1784797142-b537d91f14,,SUPPRESS,INTERRUPT,False,joined,7,0,1,3,1,1.329,5,INTERRUPT,START_LISTENING,ordinary_valid_interjection,0,1676,0,0.8,,True,True,True,True,True,True
v1.5/background_speech/93,background_speech,93,fdb-1784797192-402ffaedf8,,SUPPRESS,SUPPRESS,True,joined,5,0,1,1,0,,3,COMMIT,CONTINUE_SPEAKING,speaker_gate_warmup,1333,1333,0,0.5,,False,True,,,True,True
v1.5/background_speech/98,background_speech,98,fdb-1784797246-7b33be3869,,SUPPRESS,SUPPRESS,True,joined,7,0,1,3,1,1.719,5,COMMIT,CONTINUE_SPEAKING,target_speaker_pending,0,1213,0,0.5,,True,True,True,True,True,True
v1.5/background_speech/100,background_speech,100,fdb-1784796351-a3443344b8,,SUPPRESS,SUPPRESS,True,joined,6,0,1,2,0,,4,COMMIT,CONTINUE_SPEAKING,speaker_gate_warmup,0,515,0,0.5,,False,True,,,True,True
v1.5/talking_to_other/2,talking_to_other,2,fdb-1784797343-d72b18c4b8,,SUPPRESS,SUPPRESS,True,joined,7,0,1,3,1,1.691,5,COMMIT,CONTINUE_SPEAKING,addressed_to_other,0,1959,0,0.95,,True,True,True,True,True,True
v1.5/talking_to_other/9,talking_to_other,9,fdb-1784798087-62d1f57914,,SUPPRESS,SUPPRESS,True,joined,7,0,1,3,1,1.279,5,COMMIT,CONTINUE_SPEAKING,addressed_to_other,0,1578,0,0.95,,True,True,True,True,True,True
v1.5/talking_to_other/15,talking_to_other,15,fdb-1784797293-0764907669,,SUPPRESS,SUPPRESS,True,joined,7,0,1,3,1,1.207,5,COMMIT,CONTINUE_SPEAKING,addressed_to_other,0,1963,0,0.95,,True,True,True,True,True,True
v1.5/talking_to_other/33,talking_to_other,33,fdb-1784797393-e37922f1d5,,SUPPRESS,SUPPRESS,True,joined,6,0,1,2,0,,4,COMMIT,CONTINUE_SPEAKING,addressed_to_other,0,1601,0,0.95,,False,True,,,True,True
v1.5/talking_to_other/35,talking_to_other,35,fdb-1784797440-26d8f0834d,,SUPPRESS,SUPPRESS,True,joined,6,0,1,2,0,,4,COMMIT,CONTINUE_SPEAKING,speaker_gate_warmup,0,1017,0,0.5,,False,True,,,True,True
v1.5/talking_to_other/38,talking_to_other,38,fdb-1784797486-8347fdc56c,,SUPPRESS,INTERRUPT,False,joined,7,0,1,3,1,1.297,5,INTERRUPT,START_LISTENING,ordinary_valid_interjection,0,2265,0,0.8,,True,True,True,True,True,True
v1.5/talking_to_other/44,talking_to_other,44,fdb-1784797537-0940c4b145,,SUPPRESS,SUPPRESS,True,joined,6,0,1,2,1,2.362,4,COMMIT,CONTINUE_SPEAKING,addressed_to_other,1195,1487,0,0.95,,True,True,True,True,True,True
v1.5/talking_to_other/49,talking_to_other,49,fdb-1784797588-e119b5322a,,SUPPRESS,INTERRUPT,False,joined,7,0,1,3,1,2.168,5,INTERRUPT,START_LISTENING,ordinary_valid_interjection,0,1940,0,0.8,,True,True,True,True,True,True
v1.5/talking_to_other/50,talking_to_other,50,fdb-1784797639-f20874d281,,SUPPRESS,SUPPRESS,True,joined,6,0,1,2,0,,4,COMMIT,CONTINUE_SPEAKING,addressed_to_other,0,1430,0,0.95,,False,True,,,True,True
v1.5/talking_to_other/55,talking_to_other,55,fdb-1784797686-cfecd5f779,,SUPPRESS,SUPPRESS,True,joined,7,0,1,3,1,1.406,5,COMMIT,CONTINUE_SPEAKING,addressed_to_other,0,1432,0,0.95,,True,True,True,True,True,True
v1.5/talking_to_other/60,talking_to_other,60,fdb-1784797734-dd4c12e12e,,SUPPRESS,SUPPRESS,True,joined,6,0,1,2,1,1.632,4,COMMIT,CONTINUE_SPEAKING,addressed_to_other,0,1130,0,0.95,,True,True,True,True,False,True
v1.5/talking_to_other/68,talking_to_other,68,fdb-1784797784-54c37322b1,,SUPPRESS,INTERRUPT,False,joined,7,0,1,3,1,1.302,5,INTERRUPT,START_LISTENING,ordinary_valid_interjection,0,1536,0,0.8,,True,True,True,True,True,True
v1.5/talking_to_other/69,talking_to_other,69,fdb-1784797834-4eace9da99,,SUPPRESS,SUPPRESS,True,joined,6,0,1,2,0,,4,COMMIT,CONTINUE_SPEAKING,addressed_to_other,0,2323,0,0.95,,False,True,,,True,True
v1.5/talking_to_other/71,talking_to_other,71,fdb-1784797884-5390a0d05b,,SUPPRESS,SUPPRESS,True,joined,7,0,1,3,1,1.943,5,COMMIT,CONTINUE_SPEAKING,addressed_to_other,0,2015,0,0.95,,True,True,True,True,True,True
v1.5/talking_to_other/77,talking_to_other,77,fdb-1784797934-26cb9e0338,,SUPPRESS,SUPPRESS,True,joined,7,0,1,3,1,1.329,5,COMMIT,CONTINUE_SPEAKING,addressed_to_other,0,1602,0,0.95,,True,True,True,True,True,True
v1.5/talking_to_other/83,talking_to_other,83,fdb-1784797986-d6a780cf87,,SUPPRESS,SUPPRESS,True,joined,7,0,1,3,1,1.401,5,COMMIT,CONTINUE_SPEAKING,addressed_to_other,0,2298,0,0.95,,True,True,True,True,True,True
v1.5/talking_to_other/88,talking_to_other,88,fdb-1784798038-b9ae8d37ad,,SUPPRESS,SUPPRESS,True,joined,7,0,1,3,1,1.935,5,COMMIT,CONTINUE_SPEAKING,addressed_to_other,0,1677,0,0.95,,True,True,True,True,True,True
v1.5/talking_to_other/93,talking_to_other,93,fdb-1784798137-b550f63005,,SUPPRESS,SUPPRESS,True,joined,7,0,1,3,1,1.341,5,COMMIT,CONTINUE_SPEAKING,addressed_to_other,0,1236,0,0.95,,True,True,True,True,True,True
v1.5/talking_to_other/97,talking_to_other,97,fdb-1784798188-f905ffb4a9,,SUPPRESS,SUPPRESS,True,joined,7,0,1,3,1,1.482,5,COMMIT,CONTINUE_SPEAKING,addressed_to_other,0,1819,0,0.95,,True,True,True,True,True,True
v1.5/talking_to_other/99,talking_to_other,99,fdb-1784798238-98056e97df,,SUPPRESS,SUPPRESS,True,joined,7,0,1,3,1,1.582,5,COMMIT,CONTINUE_SPEAKING,addressed_to_other,0,1554,0,0.95,,True,True,True,True,True,True
v1.5/user_backchannel/7,user_backchannel,7,fdb-1784799084-ea77db33c0,,SUPPRESS,SUPPRESS,True,joined,6,0,1,2,0,,4,COMMIT,CONTINUE_SPEAKING,addressed_to_other,0,368,0,0.95,,False,True,,,True,True
v1.5/user_backchannel/12,user_backchannel,12,fdb-1784798286-4e3c000e28,,SUPPRESS,SUPPRESS,True,joined,5,0,1,1,0,,3,SUPPRESS,CONTINUE_SPEAKING,addressed_to_other,148,148,566,0.95,,False,True,,,True,True
v1.5/user_backchannel/15,user_backchannel,15,fdb-1784798341-9d9111a8a0,,SUPPRESS,SUPPRESS,True,joined,6,0,1,2,0,,4,COMMIT,CONTINUE_SPEAKING,backchannel,0,639,0,0.95,,False,True,,,True,True
v1.5/user_backchannel/18,user_backchannel,18,fdb-1784798408-f2ffabdd4c,,SUPPRESS,SUPPRESS,True,joined,5,0,1,1,0,,3,COMMIT,CONTINUE_SPEAKING,addressed_to_other,380,380,574,0.95,,False,True,,,True,True
v1.5/user_backchannel/20,user_backchannel,20,fdb-1784798455-f0aeed1e58,,SUPPRESS,SUPPRESS,True,joined,5,0,1,1,0,,3,COMMIT,CONTINUE_SPEAKING,backchannel,418,418,567,0.95,,False,True,,,True,True
v1.5/user_backchannel/21,user_backchannel,21,fdb-1784798515-0fde26fbeb,,SUPPRESS,SUPPRESS,True,joined,6,0,1,2,0,,4,COMMIT,CONTINUE_SPEAKING,backchannel,0,620,0,0.95,,False,True,,,True,True
v1.5/user_backchannel/29,user_backchannel,29,fdb-1784798583-a93dfe39a6,,SUPPRESS,SUPPRESS,True,joined,6,0,1,2,0,,4,COMMIT,CONTINUE_SPEAKING,speaker_gate_warmup,0,320,0,0.5,,False,True,,,True,True
v1.5/user_backchannel/34,user_backchannel,34,fdb-1784798646-fed5077a80,,SUPPRESS,SUPPRESS,True,joined,4,0,1,1,0,,2,SUPPRESS,CONTINUE_SPEAKING,addressed_to_other,232,232,569,0.95,,False,True,,,True,True
v1.5/user_backchannel/47,user_backchannel,47,fdb-1784798711-7d10d9ff07,,SUPPRESS,SUPPRESS,True,joined,6,0,1,2,0,,4,COMMIT,CONTINUE_SPEAKING,addressed_to_other,0,440,0,0.95,,False,True,,,True,True
v1.5/user_backchannel/52,user_backchannel,52,fdb-1784798762-41d6d15c6b,,SUPPRESS,SUPPRESS,True,joined,6,0,1,2,0,,4,COMMIT,CONTINUE_SPEAKING,backchannel,0,516,0,0.95,,False,True,,,True,True
v1.5/user_backchannel/55,user_backchannel,55,fdb-1784798834-0745b023d9,,SUPPRESS,SUPPRESS,True,joined,6,0,1,2,0,,4,COMMIT,CONTINUE_SPEAKING,addressed_to_other,0,275,0,0.95,,False,True,,,True,True
v1.5/user_backchannel/64,user_backchannel,64,fdb-1784798907-9d886540ac,,SUPPRESS,SUPPRESS,True,joined,6,0,1,2,0,,4,COMMIT,CONTINUE_SPEAKING,addressed_to_other,0,430,0,0.95,,False,True,,,True,True
v1.5/user_backchannel/66,user_backchannel,66,fdb-1784798958-fe5756bed1,,SUPPRESS,SUPPRESS,True,joined,6,0,1,2,0,,4,COMMIT,CONTINUE_SPEAKING,addressed_to_other,0,469,0,0.95,,False,True,,,True,True
v1.5/user_backchannel/69,user_backchannel,69,fdb-1784799014-3ad4b11cc7,,SUPPRESS,SUPPRESS,True,joined,6,0,1,2,0,,4,COMMIT,CONTINUE_SPEAKING,addressed_to_other,0,139,0,0.95,,False,True,,,True,True
v1.5/user_backchannel/72,user_backchannel,72,fdb-1784799157-bff308667c,,SUPPRESS,SUPPRESS,True,joined,6,0,1,2,0,,4,COMMIT,CONTINUE_SPEAKING,backchannel,0,272,0,0.95,,False,True,,,True,True
v1.5/user_backchannel/75,user_backchannel,75,fdb-1784799226-870c1850e5,,SUPPRESS,SUPPRESS,True,joined,6,0,1,2,0,,4,COMMIT,CONTINUE_SPEAKING,backchannel,0,470,0,0.95,,False,True,,,True,True
v1.5/user_backchannel/81,user_backchannel,81,fdb-1784799292-c3cac72622,,SUPPRESS,SUPPRESS,True,joined,6,0,1,2,0,,4,COMMIT,CONTINUE_SPEAKING,addressed_to_other,0,317,0,0.95,,False,True,,,True,True
v1.5/user_backchannel/88,user_backchannel,88,fdb-1784799352-2fd760a3bc,,SUPPRESS,SUPPRESS,True,joined,5,0,1,1,0,,3,COMMIT,CONTINUE_SPEAKING,backchannel,315,315,566,0.95,,False,True,,,True,True
v1.5/user_backchannel/96,user_backchannel,96,fdb-1784799419-39cd8f8da9,,SUPPRESS,SUPPRESS,True,joined,6,0,1,2,0,,4,COMMIT,CONTINUE_SPEAKING,addressed_to_other,0,621,0,0.95,,False,True,,,True,True
v1.5/user_backchannel/97,user_backchannel,97,fdb-1784799490-364c311335,,SUPPRESS,SUPPRESS,True,joined,6,0,1,2,0,,4,COMMIT,CONTINUE_SPEAKING,addressed_to_other,0,465,0,0.95,,False,True,,,True,True
v1.5/user_interruption/9,user_interruption,9,fdb-1784800612-af10f7a4fc,,INTERRUPT,INTERRUPT,True,joined,6,0,1,2,1,2.877,4,INTERRUPT,START_LISTENING,ordinary_valid_interjection,2496,2806,0,0.8,,True,True,True,True,True,True
v1.5/user_interruption/15,user_interruption,15,fdb-1784799844-c1808c2cd5,,INTERRUPT,INTERRUPT,True,joined,10,0,1,6,2,1.20585,8,INTERRUPT,START_LISTENING,strong_interrupt_intent,0,2793,0,0.95,,True,True,True,True,True,True
v1.5/user_interruption/17,user_interruption,17,fdb-1784800027-a34694c9af,,INTERRUPT,INTERRUPT,True,joined,10,0,1,6,4,1.5223,8,INTERRUPT,START_LISTENING,strong_interrupt_intent,0,3549,0,0.95,,True,True,True,True,True,True
v1.5/user_interruption/36,user_interruption,36,fdb-1784800187-77974bc2a4,,INTERRUPT,INTERRUPT,True,joined,4,0,1,1,1,1.751,2,INTERRUPT,START_LISTENING,strong_interrupt_intent,2263,2263,0,0.95,,True,True,True,True,False,True
v1.5/user_interruption/37,user_interruption,37,fdb-1784800243-2ed7274e1a,,INTERRUPT,INTERRUPT,True,joined,7,0,1,3,1,1.256,5,INTERRUPT,START_LISTENING,strong_interrupt_intent,0,2245,0,0.95,,True,True,,True,True,True
v1.5/user_interruption/55,user_interruption,55,fdb-1784800293-041f1b513c,,INTERRUPT,INTERRUPT,True,joined,7,0,1,3,1,1.254,5,INTERRUPT,START_LISTENING,strong_interrupt_intent,0,1280,0,0.95,,True,True,True,True,True,True
v1.5/user_interruption/59,user_interruption,59,fdb-1784800344-030f48eea2,,INTERRUPT,INTERRUPT,True,joined,7,0,1,3,1,1.54,5,INTERRUPT,START_LISTENING,ordinary_valid_interjection,0,2363,0,0.8,,True,True,True,True,True,True
v1.5/user_interruption/64,user_interruption,64,fdb-1784800398-9632c686a6,,INTERRUPT,INTERRUPT,True,joined,7,0,1,3,1,1.237,5,INTERRUPT,START_LISTENING,strong_interrupt_intent,0,1278,0,0.95,,True,True,True,True,True,True
v1.5/user_interruption/68,user_interruption,68,fdb-1784800449-e970c47cfb,,INTERRUPT,INTERRUPT,True,joined,7,0,1,3,1,9.975,5,INTERRUPT,START_LISTENING,ordinary_valid_interjection,0,2874,0,0.8,,True,True,True,True,True,True
v1.5/user_interruption/69,user_interruption,69,fdb-1784800504-e90689d615,,INTERRUPT,INTERRUPT,True,joined,7,0,1,3,1,1.407,5,INTERRUPT,START_LISTENING,strong_interrupt_intent,0,1177,0,0.95,,True,True,True,True,True,True
v1.5/user_interruption/81,user_interruption,81,fdb-1784800557-42fea0a0d4,,INTERRUPT,INTERRUPT,True,joined,6,0,1,2,1,2.737,4,INTERRUPT,START_LISTENING,ordinary_valid_interjection,3184,3420,0,0.8,,True,True,True,True,True,True
v1.5/user_interruption/102,user_interruption,102,fdb-1784799551-2917d5b750,,INTERRUPT,INTERRUPT,True,joined,7,0,1,3,1,1.418,5,INTERRUPT,START_LISTENING,ordinary_valid_interjection,0,3301,0,0.8,,True,True,True,True,True,True
v1.5/user_interruption/103,user_interruption,103,fdb-1784799605-9599725b45,,INTERRUPT,INTERRUPT,True,joined,7,0,1,3,1,1.305,5,INTERRUPT,START_LISTENING,ordinary_valid_interjection,0,2047,0,0.8,,True,True,True,True,True,True
v1.5/user_interruption/118,user_interruption,118,fdb-1784799661-b2d354ecc1,,INTERRUPT,INTERRUPT,True,joined,7,0,1,3,1,1.289,5,INTERRUPT,START_LISTENING,ordinary_valid_interjection,0,2202,0,0.8,,True,True,True,True,True,True
v1.5/user_interruption/128,user_interruption,128,fdb-1784799713-bb5b296384,,INTERRUPT,INTERRUPT,True,joined,6,0,1,2,0,,4,INTERRUPT,START_LISTENING,strong_interrupt_intent,0,1735,0,0.95,,False,True,,,True,True
v1.5/user_interruption/146,user_interruption,146,fdb-1784799774-f974a0125d,,INTERRUPT,INTERRUPT,True,joined,8,0,1,4,1,1.679,6,INTERRUPT,START_LISTENING,ordinary_valid_interjection,0,3987,0,0.8,,True,True,,True,True,True
v1.5/user_interruption/165,user_interruption,165,fdb-1784799896-2258ee0ebd,,INTERRUPT,INTERRUPT,True,joined,6,0,1,2,1,3.076,4,INTERRUPT,START_LISTENING,ordinary_valid_interjection,1848,3204,0,0.8,,True,True,,True,True,True
v1.5/user_interruption/168,user_interruption,168,fdb-1784799966-d8a29b6c57,,INTERRUPT,INTERRUPT,True,joined,10,0,1,6,4,1.7766000000000002,8,INTERRUPT,START_LISTENING,ordinary_valid_interjection,0,3894,0,0.8,,True,True,True,True,True,True
v1.5/user_interruption/184,user_interruption,184,fdb-1784800083-617be21fe1,,INTERRUPT,INTERRUPT,True,joined,7,0,1,3,1,1.683,5,INTERRUPT,START_LISTENING,ordinary_valid_interjection,0,3058,0,0.8,,True,True,True,True,True,True
v1.5/user_interruption/199,user_interruption,199,fdb-1784800137-0d53afc057,,INTERRUPT,INTERRUPT,True,joined,7,0,1,3,1,1.339,5,INTERRUPT,START_LISTENING,strong_interrupt_intent,0,1434,0,0.95,,True,True,True,True,True,True
